,n,p,k,sigma,lambda,method,time,error,numiters
999,500,250,125,1,61.154467568427854,LLM,0.18312954902648926,0.020901660751388093,100
1000,500,250,125,1,0,AT,0.2321643829345703,0.009506579019846148,156
1001,500,250,125,1,0,LLM,0.32022547721862793,0.009092923730210464,169
1002,500,250,125,1,61.31022612334524,AT,0.20414376258850098,0.025123476432445148,133
1003,500,250,125,1,61.31022612334524,LLM,0.1991422176361084,0.021123044815407877,104
1004,500,250,125,1,0,AT,0.26917600631713867,0.00924990276922618,169
1005,500,250,125,1,0,LLM,0.3122222423553467,0.009266657385889302,169
1006,500,250,125,1,69.4929717892507,AT,0.20414328575134277,0.02907283923576562,127
1007,500,250,125,1,69.4929717892507,LLM,0.18613147735595703,0.02534289830252422,93
1008,500,250,125,1,0,AT,0.24317169189453125,0.008764464940440518,162
1009,500,250,125,1,0,LLM,0.3382527828216553,0.008743252714917077,165
1010,500,250,125,1,66.21761005677219,AT,0.21914148330688477,0.02841149333403001,139
1011,500,250,125,1,66.21761005677219,LLM,0.1731245517730713,0.025413978358313462,90
1012,500,250,125,1,0,AT,0.259183406829834,0.008905035670738592,166
1013,500,250,125,1,0,LLM,0.32422709465026855,0.008909123339541384,167
1014,500,250,125,1,74.31959641480832,AT,0.19013643264770508,0.027481107412967207,126
1015,500,250,125,1,74.31959641480832,LLM,0.16311335563659668,0.02405800586135363,90
1016,500,250,125,1,0,AT,0.2821996212005615,0.008958870210525105,177
1017,500,250,125,1,0,LLM,0.3312337398529053,0.0089447521701901,174
1018,500,250,125,1,62.29275240618001,AT,0.2131519317626953,0.02441148289227517,138
1019,500,250,125,1,62.29275240618001,LLM,0.17512226104736328,0.021081415215505904,97
1020,500,250,125,1,0,AT,0.26718926429748535,0.008531110672763421,179
1021,500,250,125,1,0,LLM,0.3192260265350342,0.00902121419117099,167
1022,500,250,125,1,70.60132438034229,AT,0.2011418342590332,0.027488842420703038,134
1023,500,250,125,1,70.60132438034229,LLM,0.18014144897460938,0.02468165168154553,93
1024,500,250,125,1,0,AT,0.2751805782318115,0.00852694252533821,170
1025,500,250,125,1,0,LLM,0.3282337188720703,0.008526203612065568,169
1026,500,250,125,1,64.69481469774024,AT,0.21013498306274414,0.023750628133947,135
1027,500,250,125,1,64.69481469774024,LLM,0.165116548538208,0.02045232967521684,94
1028,500,250,125,1,0,AT,0.25818467140197754,0.008482536345681984,164
1029,500,250,125,1,0,LLM,0.3082160949707031,0.008496314221253312,160
1030,500,250,125,1,55.451234298546005,AT,0.20314383506774902,0.022248419135362848,133
1031,500,250,125,1,55.451234298546005,LLM,0.18112850189208984,0.018980127082377295,96
1032,500,250,125,1,0,AT,0.23316478729248047,0.008995395397725417,155
1033,500,250,125,1,0,LLM,0.2922060489654541,0.008999290963516595,155
1034,500,250,125,1,61.369125469475996,AT,0.20415782928466797,0.024038270814760815,124
1035,500,250,125,1,61.369125469475996,LLM,0.1871194839477539,0.020552737177110845,100
1036,500,250,125,1,0,AT,0.25317859649658203,0.00878831258081863,164
1037,500,250,125,1,0,LLM,0.29320859909057617,0.008786941521207386,163
1038,500,250,125,1,61.75596328559667,AT,0.1991429328918457,0.02521162278043685,130
1039,500,250,125,1,61.75596328559667,LLM,0.17812466621398926,0.021508460116506,94
1040,500,250,125,1,0,AT,0.2561943531036377,0.008132761225083444,168
1041,500,250,125,1,0,LLM,0.32221460342407227,0.008099467344429062,165
1042,500,250,125,1,65.66077533426298,AT,0.19513773918151855,0.02605609715611965,129
1043,500,250,125,1,65.66077533426298,LLM,0.1791393756866455,0.023194051389738613,94
1044,500,250,125,1,0,AT,0.2301487922668457,0.009258460547773085,144
1045,500,250,125,1,0,LLM,0.2821991443634033,0.00927200259998797,152
1046,500,250,125,1,70.02786386650212,AT,0.20714783668518066,0.027090980276706884,133
1047,500,250,125,1,70.02786386650212,LLM,0.1701185703277588,0.023803394460462618,91
1048,500,250,125,1,0,AT,0.24517321586608887,0.008439163644266917,170
1049,500,250,125,1,0,LLM,0.3132212162017822,0.008437112925784461,167
1050,500,250,125,1,65.21806475585315,AT,0.2111494541168213,0.026696767706989633,126
1051,500,250,125,1,65.21806475585315,LLM,0.17413616180419922,0.022353339031052796,92
1052,500,250,125,1,0,AT,0.2571694850921631,0.008691697057704905,164
1053,500,250,125,1,0,LLM,0.3002126216888428,0.008690258245041637,159
1054,500,250,125,1,53.692324344123016,AT,0.20414209365844727,0.02178653436741985,130
1055,500,250,125,1,53.692324344123016,LLM,0.16811871528625488,0.01837252457631825,95
1056,500,250,125,1,0,AT,0.28620219230651855,0.00963565455067413,182
1057,500,250,125,1,0,LLM,0.3472471237182617,0.009532251587906047,177
