,n,p,k,sigma,lambda,method,time,error,numiters
806,100,200,160,1,24.335430622615313,AT,0.15611052513122559,0.9777058135313537,428
807,100,200,160,1,24.335430622615313,LLM,0.19213509559631348,0.9888772983364414,401
808,100,200,160,1,0,AT,0.06654691696166992,0.6532774406738034,168
809,100,200,160,1,0,LLM,0.0790548324584961,0.6532772210491586,167
810,100,200,160,1,29.02517635007736,AT,0.15260887145996094,0.9791840052569871,362
811,100,200,160,1,29.02517635007736,LLM,0.1866309642791748,0.9861834626808933,315
812,100,200,160,1,0,AT,0.06704902648925781,0.7072363674995616,162
813,100,200,160,1,0,LLM,0.07955646514892578,0.7072363518979157,163
814,100,200,160,1,27.93953484090045,AT,0.1315906047821045,0.940596822259403,389
815,100,200,160,1,27.93953484090045,LLM,0.203643798828125,0.9485244795070685,421
816,100,200,160,1,0,AT,0.06604671478271484,0.7278268599884513,162
817,100,200,160,1,0,LLM,0.0745537281036377,0.7278269598781765,162
818,100,200,160,1,30.005138979577843,AT,0.14059829711914062,0.9261199047074211,344
819,100,200,160,1,30.005138979577843,LLM,0.16863322257995605,0.9332832174322563,366
820,100,200,160,1,0,AT,0.05452442169189453,0.7208569829264121,161
821,100,200,160,1,0,LLM,0.07305169105529785,0.7208572066222099,162
822,100,200,160,1,41.878383770034766,AT,0.11509513854980469,0.8869275271308364,289
823,100,200,160,1,41.878383770034766,LLM,0.1535942554473877,0.8941271337290256,336
824,100,200,160,1,0,AT,0.05804109573364258,0.7865944937316001,156
825,100,200,160,1,0,LLM,0.08105778694152832,0.7865946111357819,159
826,100,200,160,1,32.105596588562044,AT,0.14260029792785645,0.9615953856455279,353
827,100,200,160,1,32.105596588562044,LLM,0.21915507316589355,0.9687167565637371,486
828,100,200,160,1,0,AT,0.058541059494018555,0.6944998726411569,173
829,100,200,160,1,0,LLM,0.0695502758026123,0.6944992973875278,170
830,100,200,160,1,32.91183200539418,AT,0.18112707138061523,0.9710741090210291,468
831,100,200,160,1,32.91183200539418,LLM,0.23766779899597168,0.979401227316973,525
832,100,200,160,1,0,AT,0.056040048599243164,0.7299345796481772,166
833,100,200,160,1,0,LLM,0.07956957817077637,0.7299345063882392,166
834,100,200,160,1,30.870070006063827,AT,0.1581108570098877,0.8764529087838249,397
835,100,200,160,1,30.870070006063827,LLM,0.2577228546142578,0.8804931606892424,508
836,100,200,160,1,0,AT,0.06854796409606934,0.6562516861167628,162
837,100,200,160,1,0,LLM,0.08455991744995117,0.6562513604752847,163
838,100,200,160,1,25.82083118795416,AT,0.1581127643585205,0.9695810382798086,422
839,100,200,160,1,25.82083118795416,LLM,0.20464396476745605,0.9774168442860036,422
840,100,200,160,1,0,AT,0.07305169105529785,0.7297823323161989,168
841,100,200,160,1,0,LLM,0.0765538215637207,0.7297822360775319,167
842,100,200,160,1,29.03203307148858,AT,0.12408852577209473,0.9144464617447301,364
843,100,200,160,1,29.03203307148858,LLM,0.15711164474487305,0.9205025526445582,353
844,100,200,160,1,0,AT,0.06504368782043457,0.7162714711106136,172
845,100,200,160,1,0,LLM,0.07305192947387695,0.7162710648659361,174
846,100,200,160,1,35.34113400564546,AT,0.13009285926818848,0.948391147963442,317
847,100,200,160,1,35.34113400564546,LLM,0.1821279525756836,0.9556674539535409,432
848,100,200,160,1,0,AT,0.0550379753112793,0.6977231430013837,156
849,100,200,160,1,0,LLM,0.06654691696166992,0.6977231345594225,157
850,100,200,160,1,21.402656535766944,AT,0.13109326362609863,0.9097690816284457,364
851,100,200,160,1,21.402656535766944,LLM,0.18513083457946777,0.9184663730429443,410
852,100,200,160,1,0,AT,0.05403876304626465,0.6975952098041865,163
853,100,200,160,1,0,LLM,0.07855534553527832,0.6975956404779643,162
854,100,200,160,1,30.088678446093198,AT,0.13309288024902344,0.9317416735685474,349
855,100,200,160,1,30.088678446093198,LLM,0.19013476371765137,0.940426130093948,409
856,100,200,160,1,0,AT,0.06854891777038574,0.6958212858914459,161
857,100,200,160,1,0,LLM,0.06504607200622559,0.69582113042378,161
858,100,200,160,1,23.99902319309327,AT,0.14760375022888184,0.9339572799621325,445
859,100,200,160,1,23.99902319309327,LLM,0.2176530361175537,0.9398142805771782,476
860,100,200,160,1,0,AT,0.07105064392089844,0.6815575730511851,162
861,100,200,160,1,0,LLM,0.0790550708770752,0.6815576265653378,162
862,100,200,160,1,29.860500353530522,AT,0.13309383392333984,0.9312460793222777,328
863,100,200,160,1,29.860500353530522,LLM,0.16011428833007812,0.9384020207563971,375
864,100,200,160,1,0,AT,0.06904959678649902,0.6924665493744395,168
865,100,200,160,1,0,LLM,0.07104897499084473,0.6924666591162374,168
866,100,200,160,1,23.680140058518738,AT,0.1702747344970703,0.9130175029189038,413
867,100,200,160,1,23.680140058518738,LLM,0.2131502628326416,0.9220161937524806,444
868,100,200,160,1,0,AT,0.06504559516906738,0.7571167033838929,165
869,100,200,160,1,0,LLM,0.06957221031188965,0.7571167030449095,162
870,100,200,160,1,25.480245020973175,AT,0.15362238883972168,0.9354539956735407,387
871,100,200,160,1,25.480245020973175,LLM,0.22014212608337402,0.9406561421365429,430
872,100,200,160,1,0,AT,0.06304478645324707,0.6438342677321296,173
873,100,200,160,1,0,LLM,0.07104921340942383,0.6438327117465045,160
874,100,200,160,1,25.199033630010668,AT,0.18613076210021973,0.950579804195413,498
875,100,200,160,1,25.199033630010668,LLM,0.2977101802825928,0.9615147639065029,661
876,100,200,160,1,0,AT,0.0575404167175293,0.7308499519154352,169
877,100,200,160,1,0,LLM,0.0740509033203125,0.7308500776797379,170
878,100,200,160,1,28.236903298658426,AT,0.1295919418334961,0.8697675193806115,340
879,100,200,160,1,28.236903298658426,LLM,0.16111397743225098,0.8749690715199845,355
880,100,200,160,1,0,AT,0.06154346466064453,0.7596789994533764,161
881,100,200,160,1,0,LLM,0.08405923843383789,0.7596790229031315,161
882,100,200,160,1,38.095960569542626,AT,0.10057210922241211,0.8822155274191,297
883,100,200,160,1,38.095960569542626,LLM,0.16661667823791504,0.8860617406937233,352
884,100,200,160,1,0,AT,0.0720512866973877,0.7319801161812063,168
885,100,200,160,1,0,LLM,0.07555437088012695,0.7319801265097512,168
886,100,200,160,1,26.591264848716847,AT,0.16111326217651367,0.9561026795199086,409
887,100,200,160,1,26.591264848716847,LLM,0.2226581573486328,0.9622536903543427,459
888,100,200,160,1,0,AT,0.0650331974029541,0.6837036367680586,161
889,100,200,160,1,0,LLM,0.07356452941894531,0.6837036478234352,161
890,100,200,160,1,21.266198824295895,AT,0.16211485862731934,0.9215863918449704,427
891,100,200,160,1,21.266198824295895,LLM,0.2521834373474121,0.9299345723385765,512
892,100,200,160,1,0,AT,0.06104230880737305,0.7012874056521933,163
893,100,200,160,1,0,LLM,0.07855558395385742,0.7012874112648135,163
894,100,200,160,1,27.796532749728524,AT,0.1290912628173828,0.9017310924612797,352
895,100,200,160,1,27.796532749728524,LLM,0.16562747955322266,0.9095803618140698,364
896,100,200,160,1,0,AT,0.06154298782348633,0.7069783055690001,164
897,100,200,160,1,0,LLM,0.0840599536895752,0.7069783147192109,165
898,100,200,160,1,34.87360155794341,AT,0.18062758445739746,0.9400128195353153,426
899,100,200,160,1,34.87360155794341,LLM,0.20964837074279785,0.9451715515534402,470
900,100,200,160,1,0,AT,0.05704092979431152,0.6905080529251042,162
901,100,200,160,1,0,LLM,0.07506632804870605,0.6905080765483582,162
902,100,200,160,1,23.252755820505495,AT,0.1486046314239502,0.9070796852716622,410
903,100,200,160,1,23.252755820505495,LLM,0.21513867378234863,0.9130960563421535,497
904,100,200,160,1,0,AT,0.056540727615356445,0.6592046888456685,167
905,100,200,160,1,0,LLM,0.07506561279296875,0.6592047022039431,168
906,100,200,160,1,24.945902548251652,AT,0.15209507942199707,0.9367970450373676,402
907,100,200,160,1,24.945902548251652,LLM,0.20214176177978516,0.9445322804800608,462
908,100,200,160,1,0,AT,0.0625455379486084,0.7337348106045968,182
909,100,200,160,1,0,LLM,0.08105778694152832,0.7337349040173864,181
910,100,200,160,1,36.7499524251309,AT,0.11959719657897949,0.9063317517915795,337
911,100,200,160,1,36.7499524251309,LLM,0.15659666061401367,0.9117614894147898,308
912,100,200,160,1,0,AT,0.06554698944091797,0.7174194214447001,161
913,100,200,160,1,0,LLM,0.07155156135559082,0.7174195988778973,162
914,100,200,160,1,20.864652598862516,AT,0.1250748634338379,0.9123637180185018,358
915,100,200,160,1,20.864652598862516,LLM,0.15911245346069336,0.9231039271296447,374
916,100,200,160,1,0,AT,0.08305859565734863,0.6872764958249171,159
917,100,200,160,1,0,LLM,0.0765542984008789,0.6872765724591575,159
918,100,200,160,1,27.96069576923882,AT,0.1290910243988037,0.8839681237106727,354
919,100,200,160,1,27.96069576923882,LLM,0.15911269187927246,0.8892936778477012,347
920,100,200,160,1,0,AT,0.0645456314086914,0.7338451531860538,162
921,100,200,160,1,0,LLM,0.07004857063293457,0.7338453848916294,167
922,100,200,160,1,25.95222940813713,AT,0.11858391761779785,0.9622909383536957,352
923,100,200,160,1,25.95222940813713,LLM,0.14660310745239258,0.9696090577523969,357
924,100,200,160,1,0,AT,0.0600430965423584,0.6962894109809439,161
925,100,200,160,1,0,LLM,0.06454610824584961,0.6962894110539514,161
926,100,200,160,1,31.328237484493943,AT,0.14560389518737793,0.9632093263782131,356
927,100,200,160,1,31.328237484493943,LLM,0.16611838340759277,0.9728897408670688,366
928,100,200,160,1,0,AT,0.05553722381591797,0.7283389734942146,161
929,100,200,160,1,0,LLM,0.06454658508300781,0.7283397711061472,161
930,100,200,160,1,24.51858699692668,AT,0.15911054611206055,1.022613414017657,421
931,100,200,160,1,24.51858699692668,LLM,0.1916360855102539,1.030924241104995,463
932,100,200,160,1,0,AT,0.057541608810424805,0.6756180175958246,162
933,100,200,160,1,0,LLM,0.08005547523498535,0.6756180143350186,162
934,100,200,160,1,25.213564902318478,AT,0.17214083671569824,0.9593851355622011,401
935,100,200,160,1,25.213564902318478,LLM,0.17312240600585938,0.9707308947304241,380
936,100,200,160,1,0,AT,0.06104230880737305,0.6902406335361183,164
937,100,200,160,1,0,LLM,0.07955598831176758,0.6902406610816463,164
938,100,200,160,1,37.32709815473497,AT,0.11307954788208008,1.0088453962650694,323
939,100,200,160,1,37.32709815473497,LLM,0.13309383392333984,1.0195231082780412,311
940,100,200,160,1,0,AT,0.06804871559143066,0.7071373200670641,169
941,100,200,160,1,0,LLM,0.09056425094604492,0.7071373855903026,168
942,100,200,160,1,30.580752100126666,AT,0.11558175086975098,0.9057985808108169,316
943,100,200,160,1,30.580752100126666,LLM,0.15060710906982422,0.9128670060551517,332
944,100,200,160,1,0,AT,0.06354427337646484,0.7167462514430144,161
945,100,200,160,1,0,LLM,0.08506059646606445,0.7167461905753439,161
946,100,200,160,1,25.18668985780328,AT,0.1566305160522461,0.8916898214169476,360
947,100,200,160,1,25.18668985780328,LLM,0.20464515686035156,0.8996947701698907,429
948,100,200,160,1,0,AT,0.06854772567749023,0.6556518914674376,169
949,100,200,160,1,0,LLM,0.0695493221282959,0.6556518982062459,168
950,100,200,160,1,31.133113939653658,AT,0.14560389518737793,0.9303488988843919,405
951,100,200,160,1,31.133113939653658,LLM,0.17362380027770996,0.9386117867610246,392
952,100,200,160,1,0,AT,0.07105016708374023,0.7197994094202055,162
953,100,200,160,1,0,LLM,0.07755494117736816,0.7197994777485035,163
954,100,200,160,1,34.18882102806985,AT,0.13808465003967285,0.9795373585891427,341
955,100,200,160,1,34.18882102806985,LLM,0.1671299934387207,0.9920477638968248,389
956,100,200,160,1,0,AT,0.05654025077819824,0.7020577025638,162
957,100,200,160,1,0,LLM,0.06504678726196289,0.7020576468231207,162
958,100,200,160,1,26.8535767768707,AT,0.14065122604370117,0.8924311791509697,374
959,100,200,160,1,26.8535767768707,LLM,0.1961381435394287,0.8989938170924909,402
960,100,200,160,1,0,AT,0.06507182121276855,0.7546173726449961,162
961,100,200,160,1,0,LLM,0.07805609703063965,0.7546174834129065,161
962,100,200,160,1,23.52310808605109,AT,0.13160276412963867,0.9854481488250334,325
963,100,200,160,1,23.52310808605109,LLM,0.16611671447753906,0.9935301642627559,344
964,100,200,160,1,0,AT,0.0550386905670166,0.7312099127553102,163
965,100,200,160,1,0,LLM,0.07004904747009277,0.7312097953519976,163
966,100,200,160,1,32.45197380879734,AT,0.13459491729736328,0.9514687120891029,362
967,100,200,160,1,32.45197380879734,LLM,0.21965527534484863,0.9569441178601459,484
968,100,200,160,1,0,AT,0.06154370307922363,0.7302417049049034,168
969,100,200,160,1,0,LLM,0.08006668090820312,0.7302418953446181,167
970,100,200,160,1,32.35849767127816,AT,0.12258720397949219,0.9044092239940068,319
971,100,200,160,1,32.35849767127816,LLM,0.13811206817626953,0.9114499085547596,307
972,100,200,160,1,0,AT,0.08455991744995117,0.6845517023826302,162
973,100,200,160,1,0,LLM,0.0885624885559082,0.6845516859143668,162
974,100,200,160,1,33.737329509644816,AT,0.16961932182312012,0.9326247076104918,406
975,100,200,160,1,33.737329509644816,LLM,0.31522345542907715,0.9387728757212711,549
976,100,200,160,1,0,AT,0.08205819129943848,0.7146862230883114,161
977,100,200,160,1,0,LLM,0.09256529808044434,0.7146862441680969,161
978,100,200,160,1,28.894080453417008,AT,0.23116278648376465,0.9317436039056534,448
979,100,200,160,1,28.894080453417008,LLM,0.2616848945617676,0.9414053655955336,440
980,100,200,160,1,0,AT,0.07154989242553711,0.6800436779486319,161
981,100,200,160,1,0,LLM,0.09006452560424805,0.6800436940019139,161
982,100,200,160,1,30.0536292898251,AT,0.1713569164276123,0.9942586389271477,373
983,100,200,160,1,30.0536292898251,LLM,0.2516775131225586,1.004601430998961,423
984,100,200,160,1,0,AT,0.08956384658813477,0.7118446178519201,172
985,100,200,160,1,0,LLM,0.08806324005126953,0.711844795642231,171
986,100,200,160,1,48.125518670002535,AT,0.14560151100158691,0.9794794524690301,318
987,100,200,160,1,48.125518670002535,LLM,0.17913603782653809,0.9855294075476458,324
988,100,200,160,1,0,AT,0.06654763221740723,0.6974740897976275,156
989,100,200,160,1,0,LLM,0.07405233383178711,0.6974740877853476,156
990,100,200,160,1,22.596574997840236,AT,0.15010547637939453,0.9729869192064895,377
991,100,200,160,1,22.596574997840236,LLM,0.1941370964050293,0.9817369039010828,374
992,100,200,160,1,0,AT,0.06404447555541992,0.6355581704874241,163
993,100,200,160,1,0,LLM,0.07755494117736816,0.6355581353411424,163
994,100,200,160,1,29.688152173393007,AT,0.16911888122558594,0.9525342222526825,399
995,100,200,160,1,29.688152173393007,LLM,0.21965622901916504,0.9634999369803994,447
996,100,200,160,1,0,AT,0.07054948806762695,0.70583131005798,167
997,100,200,160,1,0,LLM,0.08355927467346191,0.7058312632194287,167
998,100,200,160,1,35.88394036584847,AT,0.18412995338439941,0.9596040287261431,397
999,100,200,160,1,35.88394036584847,LLM,0.2391672134399414,0.9654972332132834,453
1000,100,200,160,1,0,AT,0.06504583358764648,0.6579898783612003,163
1001,100,200,160,1,0,LLM,0.08255839347839355,0.6579899006295333,163
1002,100,200,160,1,30.75060499654052,AT,0.15861225128173828,0.8712667387969365,359
1003,100,200,160,1,30.75060499654052,LLM,0.21415066719055176,0.8770522724691936,422
1004,100,200,160,1,0,AT,0.06604743003845215,0.7317263610713733,162
1005,100,200,160,1,0,LLM,0.07805490493774414,0.7317263722920516,165
1006,100,200,160,1,23.700553144642722,AT,0.16211485862731934,0.9341452089229036,376
1007,100,200,160,1,23.700553144642722,LLM,0.20819544792175293,0.941178365028979,409
1008,100,200,160,1,0,AT,0.06804823875427246,0.695660518040881,160
1009,100,200,160,1,0,LLM,0.08557367324829102,0.6956603854450607,161
1010,100,200,160,1,34.04968551677516,AT,0.16461634635925293,0.8757328984811479,374
1011,100,200,160,1,34.04968551677516,LLM,0.22415828704833984,0.8798968263309478,413
1012,100,200,160,1,0,AT,0.06154441833496094,0.7101124277570904,163
1013,100,200,160,1,0,LLM,0.06754636764526367,0.7101123310344325,163
1014,100,200,160,1,29.291746153731378,AT,0.12608885765075684,0.9572405670175343,340
1015,100,200,160,1,29.291746153731378,LLM,0.19363665580749512,0.9648046703023077,422
1016,100,200,160,1,0,AT,0.059041738510131836,0.7086147763087701,161
1017,100,200,160,1,0,LLM,0.07155108451843262,0.7086147678783026,161
1018,100,200,160,1,33.142264930908944,AT,0.1345818042755127,0.9437586803069904,351
1019,100,200,160,1,33.142264930908944,LLM,0.21164989471435547,0.9513794525634776,414
1020,100,200,160,1,0,AT,0.07305169105529785,0.692107912818031,155
1021,100,200,160,1,0,LLM,0.07004952430725098,0.6921079330255483,155
1022,100,200,160,1,27.95258200512117,AT,0.18062734603881836,0.9007724210287117,449
1023,100,200,160,1,27.95258200512117,LLM,0.196638822555542,0.9077277509128288,426
1024,100,200,160,1,0,AT,0.058542728424072266,0.6975525577560553,163
1025,100,200,160,1,0,LLM,0.07004928588867188,0.6975525247719448,163
1026,100,200,160,1,37.77547068253626,AT,0.1290912628173828,0.9006055759037422,364
1027,100,200,160,1,37.77547068253626,LLM,0.18062734603881836,0.9064861353192851,375
1028,100,200,160,1,0,AT,0.06754779815673828,0.7184182445892096,161
1029,100,200,160,1,0,LLM,0.08255839347839355,0.7184182168544583,162
1030,100,200,160,1,28.664374674639618,AT,0.12909197807312012,0.9521478341346212,368
1031,100,200,160,1,28.664374674639618,LLM,0.19363808631896973,0.9612461175587133,405
1032,100,200,160,1,0,AT,0.06704831123352051,0.7184097359529706,169
1033,100,200,160,1,0,LLM,0.07505249977111816,0.7184096947694398,168
1034,100,200,160,1,35.0739520956521,AT,0.13859820365905762,0.9556035873303472,365
1035,100,200,160,1,35.0739520956521,LLM,0.1821277141571045,0.9617785511631586,390
1036,100,200,160,1,0,AT,0.06854915618896484,0.6556464238102931,168
1037,100,200,160,1,0,LLM,0.0860602855682373,0.6556463110805834,167
1038,100,200,160,1,31.48760815420301,AT,0.15761232376098633,0.9066098650697142,395
1039,100,200,160,1,31.48760815420301,LLM,0.2131497859954834,0.9144384941124835,456
1040,100,200,160,1,0,AT,0.07356667518615723,0.791336000104003,179
1041,100,200,160,1,0,LLM,0.09556889533996582,0.7913360685931513,179
1042,100,200,160,1,35.732568061714574,AT,0.12008523941040039,0.9553865102369652,298
1043,100,200,160,1,35.732568061714574,LLM,0.14710378646850586,0.9602529726248151,297
1044,100,200,160,1,0,AT,0.0675954818725586,0.6710226879270885,161
1045,100,200,160,1,0,LLM,0.08205819129943848,0.6710226944576927,161
1046,100,200,160,1,29.22557298785449,AT,0.15711188316345215,0.9342025173360979,381
1047,100,200,160,1,29.22557298785449,LLM,0.18262839317321777,0.9463038140746234,382
1048,100,200,160,1,0,AT,0.06254410743713379,0.7468434179909245,161
1049,100,200,160,1,0,LLM,0.08456015586853027,0.7468434144662187,161
1050,100,200,160,1,32.15089628039417,AT,0.18413019180297852,0.9514920681698987,430
1051,100,200,160,1,32.15089628039417,LLM,0.16461658477783203,0.9564039387864466,349
1052,100,200,160,1,0,AT,0.06654572486877441,0.6916014086974922,161
1053,100,200,160,1,0,LLM,0.08157110214233398,0.6916013801559611,162
1054,100,200,160,1,28.483479273293025,AT,0.1721210479736328,0.8825491186577026,415
1055,100,200,160,1,28.483479273293025,LLM,0.20464444160461426,0.8874933694827926,430
1056,100,200,160,1,0,AT,0.06554675102233887,0.7338810610737226,162
1057,100,200,160,1,0,LLM,0.07756781578063965,0.7338810837991411,162
1058,100,200,160,1,24.087160978734598,AT,0.19563698768615723,0.9005468540842738,491
1059,100,200,160,1,24.087160978734598,LLM,0.2541794776916504,0.9029642583886371,515
1060,100,200,160,1,0,AT,0.06754636764526367,0.7145940723997718,161
1061,100,200,160,1,0,LLM,0.08255791664123535,0.7145940779778995,161
1062,100,200,160,1,28.315407925413275,AT,0.17612385749816895,0.9148192477158523,426
1063,100,200,160,1,28.315407925413275,LLM,0.23916935920715332,0.9206944637111434,473
1064,100,200,160,1,0,AT,0.07005000114440918,0.6701231091755875,172
